					pc	bp	sp	stack
  5	opr	0	9		6	22	26	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 | 0 1 14 12 | 0 1 18 12 0 
  6	jpc	0	13		13	22	25	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 | 0 1 14 12 | 0 1 18 12 
 13	opr	0	0		12	18	21	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 | 0 1 14 12 
 12	jmp	0	13		13	18	21	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 | 0 1 14 12 
 13	opr	0	0		12	14	17	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 
 12	jmp	0	13		13	14	17	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 | 0 1 10 12 
 13	opr	0	0		12	10	13	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 
 12	jmp	0	13		13	10	13	5 | 0 1 1 16 | 0 1 2 12 | 0 1 6 12 
 13	opr	0	0		12	6	9	5 | 0 1 1 16 | 0 1 2 12 
 12	jmp	0	13		13	6	9	5 | 0 1 1 16 | 0 1 2 12 
 13	opr	0	0		12	2	5	5 | 0 1 1 16 
 12	jmp	0	13		13	2	5	5 | 0 1 1 16 
 13	opr	0	0		16	1	1	5 
 16	lod	0	0		17	1	2	5 5 
 17	sio	0	1		18	1	1	5 
 18	sio	0	3		0	0	0	
